breaker|၁၃၆၈-ခုႏွစ္ ၊ ပါရာဇိကဏ္၀ါက်မ်ား
001.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/001.mp3|အပိုင္း-၁
002.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/002.mp3|အပိုင္း-၂
003.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/003.mp3|အပိုင္း-၃
004.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/004.mp3|အပိုင္း-၄
005.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/005.mp3|အပိုင္း-၅
006.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/006.mp3|အပိုင္း-၆
007.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/007.mp3|အပိုင္း-၇
008.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/008.mp3|အပိုင္း-၈
009.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/009.mp3|အပိုင္း-၉
010.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/010.mp3|အပိုင္း-၁၀
011.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/011.mp3|အပိုင္း-၁၁
012.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/012.mp3|အပိုင္း-၁၂
013.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/013.mp3|အပိုင္း-၁၃
014.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/014.mp3|အပိုင္း-၁၄
015.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/015.mp3|အပိုင္း-၁၅
016.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/016.mp3|အပိုင္း-၁၆
017.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/017.mp3|အပိုင္း-၁၇
018.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/018.mp3|အပိုင္း-၁၈
019.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/019.mp3|အပိုင္း-၁၉
020.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/020.mp3|အပိုင္း-၂၀
