breaker|ဟဲသိမ်ပတ္တမြားတောင် ဆရာတော်ဦးကောဝိဒ ဟောကြားတော်မူသောတရားတော်များ
001.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/001-HeTheinPaTaMyarTaung.mp3|၁။ အောင်ဂါထာ
002.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/002-HeTheinPaTaMyarTaung.mp3|၂။ ပါရမီ ဆယ်ပါး
003.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/003-HeTheinPaTaMyarTaung.mp3|၃။ တရားအားထုတ်မှု လမ်းစဉ်
breaker|သမာဓိထူထောင်နည်းများ
004.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/004-HeTheinPaTaMyarTaung.mp3|၄။ ဝင်လေ ထွက်လေ အတို အရှည်
005.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/005-HeTheinPaTaMyarTaung.mp3|၅။ ဝင်လေ ထွက်လေ မတူညီမှု အကဲခတ်
006.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/006-HeTheinPaTaMyarTaung.mp3|၆။ ဝင်လေ ထွက်လေ အလုပ်ပေး
007.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/007-HeTheinPaTaMyarTaung.mp3|၇။ ဝင်လေ ထွက်လေ အလုပ်ပေး
008.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/008-HeTheinPaTaMyarTaung.mp3|၈။ သမာဓိ ထူထောင်နည်း
009.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/009-HeTheinPaTaMyarTaung.mp3|၉။ သမာဓိ နည်း ၄ နည်း
breaker|(၁၀)ရက်တရားစခန်း အလုပ်ပေးဟော တရားတော်များ
010.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/010-HeTheinPaTaMyarTaung.mp3|၁၀။ သတိ၊ ဝင်လေ ထွက်လေ
011.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/011-HeTheinPaTaMyarTaung.mp3|၁၁။ ဝီရိယ၊ ဝင်လေသိ၊ ထွက်လေသိ
012.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/012-HeTheinPaTaMyarTaung.mp3|၁၂။ သမာဓိ၊ ဝင်လေသိပျက်၊ ထွက်လေသိပျက်
013.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/013-HeTheinPaTaMyarTaung.mp3|၁၃။ သမ္မာသင်္ကပ္ပ၊ စိတ္တာနုပဿနာကို သမ္မာသင်္ကပ္ပဖြင့် ရှုနည်း
014.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/014-HeTheinPaTaMyarTaung.mp3|၁၄။ သမ္မာဒိဋ္ဌိ၊ ရုပ်နာမ်နှစ်ခုကို ဉာဏ်တစ်ခုဖြင့်ကြည့်
015.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/015-HeTheinPaTaMyarTaung.mp3|၁၅။ နှလုံးသွင်းမှန်မှန်နှင့် ရုပ်နာမ်ခန္ဓာကိုလက္ခဏာ
016.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/016-HeTheinPaTaMyarTaung.mp3|၁၆။ စိတ်တ္တာနုပဿနာကို အနတ္တဉာဏ်ထင်အောင်ရှုနည်း
017.mp3|http://dhammadownload.com/MP3Library/HeTheinPataMyarTaung/018-HeTheinPaTaMyarTaung.mp3|၁၇။ သစ္စာဒေသနာ အလုပ်ပေး
