၁။ မဟာသတိပဋ္ဌာနသုတ်တော် ဝတ်ရွတ်စဉ် အမွှန်း| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၂။ မဟာသတိပဋ္ဌာနသုတ်တော် ဝတ်ရွတ်စဉ် ပါဠိ| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၃။ မဟာသတိပဋ္ဌာနသုတ်တော် ဝတ်ရွတ်စဉ်| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၄။ ပဋ္ဌာန်း ဝတ်ရွတ်စဉ် အမွှန်း| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၅။ ပဋ္ဌာန်း ဝတ်ရွတ်စဉ် ပါဠိ| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၆။ ပဋ္ဌာန်း ဝတ်ရွတ်စဉ် နိသယ အကျဉ်း| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၇။ ဓမ္မစကြာ ဝတ်ရွတ်စဉ် ပါဠိ| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၈။ ဓမ္မစကြာ ဝတ်ရွတ်စဉ် နိသယ| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၉။ အနတ္တလက္ခဏသုတ် ပါဠိ| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၁၀။ အနတ္တလက္ခဏသုတ် နိသယ| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၁၁။ နိဗ္ဗာန် ၁၇-၁၀-၂၀၀၂|နိဗ္ဗာန်
၁၂။ နိဗ္ဗာန် ၁၈-၁၀-၂၀၀၂|နိဗ္ဗာန်
၁၃။ နိဗ္ဗာန် ၁၈-၁၀-၂၀၀၂|နိဗ္ဗာန်
၁၄။ နိဗ္ဗာန် ၁၉-၁၀-၂၀၀၂|နိဗ္ဗာန်
၁၅။ နိဗ္ဗာန် ၂၆-၁၀-၂၀၀၂|နိဗ္ဗာန်
၁၆။ နိဗ္ဗာန် ၂၇-၁၀-၂၀၀၂|နိဗ္ဗာန်
၁၇။ နိဗ္ဗာန် ၂-၁၁-၂၀၀၂|နိဗ္ဗာန်
၁၈။ နိဗ္ဗာန် ၃-၁၁-၂၀၀၂|နိဗ္ဗာန်
၁၉။ နိဗ္ဗာန် ၉-၁၁-၂၀၀၂|နိဗ္ဗာန်
၂၀။ နိဗ္ဗာန် ၁၀-၁၁-၂၀၀၂|နိဗ္ဗာန်
၂၁။ နိဗ္ဗာန် ၂၃-၁၁-၂၀၀၂|နိဗ္ဗာန်
၂၂။ နိဗ္ဗာန် ၂၃-၁၁-၂၀၀၂|နိဗ္ဗာန်
