breaker|ပ႒ာန္းက်မ္း (ပထမတြဲ)
001.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_001.mp3|၁။ပ႒ာန္းက်မ္း (ပထမတြဲ) – အဖြင့္တရားေတာ္ (၁)
002.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_002.mp3|၂။ပ႒ာန္းက်မ္း (ပထမတြဲ) – အဖြင့္တရားေတာ္ (၂)
003.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_003.mp3|၃။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၁ ~ ၂၄)
004.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_004.mp3|၄။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၂၄ ~ ၅၇)
005.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_005.mp3|၅။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၅၇ ~ ၈၃)
006.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_006.mp3|၆။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၈၄ ~ ၁၁၃)
007.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_007.mp3|၇။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၁၁၃ ~ ၁၄၀)
008.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_008.mp3|၈။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၁၄၀ ~ ၁၆၃)
009.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_009.mp3|၉။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၁၆၃ ~ ၁၉၆)
010.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_010.mp3|၁၀။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၁၉၆ ~ ၂၁၉)
011.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_011.mp3|၁၁။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၂၁၉ ~ ၂၄၀)
012.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_012.mp3|၁၂။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၂၄၀ ~ ၂၆၄)
013.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_013.mp3|၁၃။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၂၆၄ ~ ၂၈၄)
014.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_014.mp3|၁၄။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၂၈၄ ~ ၃၁၁)
015.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_015.mp3|၁၅။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၃၁၁ ~ ၃၃၄)
016.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_016.mp3|၁၆။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၃၃၄ ~၃၅၉)
017.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_017.mp3|၁၇။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၃၅၉ ~ ၃၇၈)
018.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_018.mp3|၁၈။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၃၇၈ ~ ၄၀၃)
019.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_019.mp3|၁၉။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၄၀၃ ~ ၄၂၈)
020.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_020.mp3|၂၀။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၄၂၈ ~ ၄၄၉)
021.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_021_1.mp3|၂၁။ပ႒ာန္းက်မ္း (ပထမတြဲ) – စာမ်က္ႏွာ (၄၄၉ ~ ၄၆၂)
breaker|ပ႒ာန္းက်မ္း (ဒုတိယတြဲ)
022.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_021_2.mp3|၂၂။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၁ ~ ရ
023.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_022.mp3|၂၃။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၇ ~ ၂၅
024.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_023.mp3|၂၄။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၂၅ ~ ၄၃
025.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_024.mp3|၂၅။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၄၃ ~ ၆၂
026.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_025.mp3|၂၆။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၆၂ ~ ၈၆
027.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_026.mp3|၂၇။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၈၆ ~ ၁၀၉
028.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_027.mp3|၂၈။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၁၀၉ ~ ၁၃၀
029.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_028.mp3|၂၉။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၁၃၀ ~ ၁၅၃
030.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_029.mp3|၃၀။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၁၅၃ ~ ၁၇၄
031.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_030.mp3|၃၁။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၁၇၄ ~ ၁၉၃
032.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_031.mp3|၃၂။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၁၉၃ ~ ၂၁၃
033.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_032.mp3|၃၃။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၂၁၃ ~ ၂၃၃
034.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_033.mp3|၃၄။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၂၃၃ ~ ၂၅၈
035.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_034.mp3|၃၅။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၂၅၈ ~ ၂၈၂
036.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_035.mp3|၃၆။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၂၈၂ ~ ၃၀၃
037.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_036.mp3|၃၇။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၃၀၃ (၂) ~ ၃၂၆ (၁၆)
038.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_037.mp3|၃၈။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၃၂၆ (၁၇) ~ ၃၅၃(၂၆)
039.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_038.mp3|၃၉။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၃၅၃ (၂၆) ~ ၃၈၀(၁၄)
040.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_039.mp3|၄၀။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၃၈၀ (၁၅) ~ ၄၀၅(၉)
041.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_040.mp3|၄၁။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၄၀၅ (၉) ~ ၄၂၇(၁၃)
042.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_041.mp3|၄၂။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၄၂၇ (၁၄) ~ ၄၄၈(၁၄)
043.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_042.mp3|၄၃။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၄၄၈ (၁၄) ~ ၄၇၃(၉)
044.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_043_1.mp3|၄၄။ပ႒ာန္းက်မ္း (ဒုတိယတြဲ) – စာမ်က္ႏွာ – ၄၇၃ (၁၀) ~ ၄၉၃
breaker|ပ႒ာန္းက်မ္း (တတိယတြဲ)
045.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_043_2.mp3|၄၅။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၁ ~ ၄(၁၃)
046.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_044.mp3|၄၆။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၄ (၁၄) ~ ၂၆(၅)
047.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_045.mp3|၄၇။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၂၆(၆ ~ ၅၀(၁၄)
048.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_046.mp3|၄၈။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၅၀(၁၅) ~ ရ၅(၂၂)
049.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_047.mp3|၄၉။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၇၅(၂၃) ~ ၁၀၀(၁၁)
050.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_048.mp3|၅၀။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၁၀၀(၁၂) ~ ၁၂၁(၁၇)
051.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_049.mp3|၅၁။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၁၂၁(၁၈) ~ ၁၄၇(၇)
052.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_050.mp3|၅၂။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၁၄၇(၈)~ ၁၇၁(၁၀)
053.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_051.mp3|၅၃။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၁၇၁(၁၀) ~ ၁၉၂(၁၈)
054.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_052.mp3|၅၄။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၁၉၂(၁၉) ~ ၂၁၆(၁၇)
055.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_053.mp3|၅၅။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၂၁၆(၁၈)~ ၂၄၁(၂၅)
056.mp3|https://media.thitsarparamisociety.com/mp3/MaharPatthanaRecitation/azusa_patthan_054.mp3|၅၆။ပ႒ာန္းက်မ္း (တတိယတြဲ) – စာမ်က္ႏွာ – ၂၄၁(၂၆) ~ ၂၆၉(၁၉)
