breaker|အလုပ္ေပး တရားေတာ္မ်ား
001.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/01.mp3|၁။ ပင့္ကူေနနည္းတရားေတာ္
002.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/02.mp3|၂။ ဝါတိသကသုတ္ (ၾကက္မဥပမာ)
003.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/03.mp3|၃။ တရားထိုင္ ရႈ ႔မွတ္နည္း
004.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/04.mp3|၄။ ႏွလံုးသြင္းမွန္ေအာင္ရႈ႕ (ရွင္ဆႏၵကိုေဟာတရား)
005.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/05.mp3|၅။ ခႏၶာ ရတန ဓာတ္သစၥာ နိဗၺာန္သိေအာင္ (ခႏၶာ-နိေယာဓသစၥာ)
006.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/06.mp3|၆။ သခၤါရ အေရးႀကီးပံု
007.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/07.mp3|၇။ (မိုးကုတ္ဆရာေတာ္ဘုရားႀကီ၏ သတိပ႒ာန္ သံုးပိုင္း) သတိ၊ သတိပ႒ာန္၊ လမ္းဆံု
008.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/08.mp3|၈။ ဗိုလ္တက္ၿပီး တရားအားထုတ္ပါ
009.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/09.mp3|၉။ သစၥာဥာဏ္ ၊ ကတၱဥာဏ္ ၊ ကိစၥဥာဏ္
010.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/10.mp3|၁၀။ ဓာတ္ေျခာက္ပါးတရား
011.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/11.mp3|၁၁။ သံုညတ (ကင္းစိတ္တဲ့တရား)
012.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/12.mp3|၁၂။ ဝိကလိရဟန္းေလး တရား
013.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/13.mp3|၁၃။ အလုပ္စဥ္ ဝိသုဒၶိ (၇)ပါး၊ မဂၢင္ရွစ္ပါး
014.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/14.mp3|၁၄။ သစၥာဥာဏ္ (အသိမွန္ ၊ ဇာနေတာ ၊ပတေတာ၊ နိဗၺာန္ဥာဏ္
015.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/15.mp3|၁၅။ ေဝဒနာ ႏုပႆ နာ
016.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/16.mp3|၁၆။ ေဝဒနာ ခြာရႈ႕နည္း (ေတက္နည္းတရား)
017.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/17.mp3|၁၇။ ႏွစ္ဥာဏ္ထဲႏွင့္ ကိစၦၿပီးပံုတရား
018.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/18.mp3|၁၈။ နာလည္းနာ ရႈ႕လည္းရႈ႕ (ေဝဒနာအေၾကာင္း)
019.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/19.mp3|၁၉။ တရားမရျခင္းအေၾကာင္း၊ တရားရျခင္းအေၾကာင္း (နိဝရနတရား)
020.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/Alote-Pay-Tayardaw/20.mp3|၂၀။ သကၤတ အသကၤတ ဓာတ္ နိဗၺာန္ဓာတ္
breaker|ရန္ကုန္ၿမိဳ႕၊ မိုးကုတ္ဝိပႆနာ တရားစဥ္ႏွင့္ လုပ္ငန္းစဥ္ျပန္႔ပြားေရးအဖြဲ႕ခ်ဳပ္ႀကီးမွ ႀကီးမွဴးက်င္းပခဲ့ေသာ (၂၀၀၇) ၾသဂုတ္လ (၁၀)ရက္ တရားစခန္းပြဲႀကီးတြင္ ေဟာၾကားေတာ္မူေသာ ပဋိစၥသမုပါဒ္ သစၥာေလးပါး တရားေတာ္မ်ား
021.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/001%20%20%2014.8.07%20%201.mp3|၂၁။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၄.၀၈.၀၇) (နံနက္ပိုင္း) ( ၇ နာရီ )
022.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/002%20%20%2014.8.07%20%202.mp3|၂၂။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၄.၀၈.၀၇) (နံနက္ပိုင္း) ( ၉ နာရီ )
023.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/003%20%20%2014.8.07%20%203.mp3|၂၃။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၄.၀၈.၀၇) ( ေနလည္ ပိုင္း) ( ၁ နာရီ )
024.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/004%20%20%2014.8.07%20%204.mp3|၂၄။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၅.၀၈.၀၇) (ညေနပိုင္း) ( ၃ နာရီ )
025.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/005%20%20%2015.8.07%20%201.mp3|၂၅။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၅.၀၈.၀၇) (နံနက္ပိုင္း) ( ၇ နာရီ )
026.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/006%20%20%2015.8.07%20%202.mp3|၂၆။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၅.၀၈.၀၇) (နံနက္ပိုင္း) ( ၉ နာရီ )
027.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/007%20%20%2015.8.07%20%203.mp3|၂၇။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၅.၀၈.၀၇) ( ေနလည္ ပိုင္း) ( ၁ နာရီ )
028.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/008%20%20%2015.8.07%20%204.mp3|၂၈။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၅.၀၈.၀၇) (ညေနပိုင္း) ( ၃ နာရီ )
029.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/009%20%20%2016.8.07%20%201.mp3|၂၉။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၆.၀၈.၀၇) (နံနက္ပိုင္း) ( ၇ နာရီ )
030.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/010%20%20%2016.8.07%202.mp3|၃၀။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၆.၀၈.၀၇) (နံနက္ပိုင္း) ( ၉ နာရီ )
031.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/011%20%20%2016.8.07%20%203.mp3|၃၁။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၆.၀၈.၀၇) ( ေနလည္ ပိုင္း) ( ၁ နာရီ )
032.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/012%20%20%2016.8.07%20%204.mp3|၃၂။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၆.၀၈.၀၇) (ညေနပိုင္း) ( ၃ နာရီ )
033.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/013%20%20%2017.8.07%20%201.mp3|၃၃။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၇.၀၈.၀၇) (နံနက္ပိုင္း) ( ၇ နာရီ )
034.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/014%20%20%2017.8.07%20%202.mp3|၃၄။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၇.၀၈.၀၇) (နံနက္ပိုင္း) ( ၉ နာရီ )
035.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/015%20%20%2017.8.07%20%20%203.mp3|၃၅။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၇.၀၈.၀၇) ( ေနလည္ ပိုင္း) ( ၁ နာရီ )
036.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/016%20%20%2017.8.07%20%20%204.mp3|၃၆။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၇.၀၈.၀၇) (ညေနပိုင္း) ( ၃ နာရီ )
037.mp3|https://media.thitsarparamisociety.com/mp3/U-NyarNaw-Thazin-YeKyaw/2007%20Aug%20Training/017%20%20%2018.8.07%20%20%201.mp3|၃၇။ ပဋိစၥသမုပၸါဒ္ တရားေတာ္ (၁၈.၀၈.၀၇) (နံနက္ပိုင္း) ( ၇ နာရီ )
