breaker|မကွေး-နာရေးကူညီမှုအသင်း (၁၃) နှစ်ပြည့် အထူးဓမ္မသဘင်
001.mp3|https://media.thitsarparamisociety.com/mp3/Magway/Gayunar-13yr/01.%20(7.12.2015).mp3|၁။မပျက် ဆင် ခြင် နိဗ္ဗာန်ဝင် တရား တော် (၇.၁၂.၁၅) ဒေါက်တာအရှင် အဂ္ဂဝရ(ဖြူးဆရာတော်)
002.mp3|https://media.thitsarparamisociety.com/mp3/Magway/Gayunar-13yr/02.%20(8.12.2015).mp3|၂။ အနှိုင်းမဲ့အဖေ ဦးနန္ဒာသီရိ(ရွှေမြိုင်ဆရာတော်) (၈.၁၂.၁၅)
003.mp3|https://media.thitsarparamisociety.com/mp3/Magway/Gayunar-13yr/03.%20(9.12.2015).mp3|၃။ (၉.၁၂.၁၅)  လူ ဘဝ ဂုဏ် ရည် တရား တော် ဦးနန္ဒာစာရ(မော်ကျွန်း)
004.mp3|https://media.thitsarparamisociety.com/mp3/Magway/Gayunar-13yr/04.%20(10.12.2015).mp3|၄။ (၁၀.၁၂.၁၅) အပြစ် ကင်း မှ ချမ်း သာ ရ အရှင်တိက္ခသာရ(သီတဂူ)
005.mp3|https://media.thitsarparamisociety.com/mp3/Magway/Gayunar-13yr/05.%20(11.12.2015).mp3|၅။ (၁၁.၁၂.၁၅)အနေတတ်မှချမ်းသာရ အရှင်တိက္ခသာရ(သီတဂူ)
006.mp3|https://media.thitsarparamisociety.com/mp3/Magway/Gayunar-13yr/06.%20(12.12.2015).mp3|၆။ (၁၂.၁၂.၁၅) ကံမ္မပစ္စည်းတရားတော် ဒေါက်တာအရှင်အာသဘ
007.mp3|https://media.thitsarparamisociety.com/mp3/Magway/Gayunar-13yr/07.%20(13.12.2015).mp3|၇။ (၁၃.၁၂.၁၅) နုတ်ဆက်ပါရစေ ဒေါက်တာအရှင်အာသဘ
008.mp3|https://media.thitsarparamisociety.com/mp3/Magway/Gayunar-13yr/08.%20(14.12.2015).mp3|၈။ (၁၄.၁၂.၁၅)ဘုရားမြတ်စွာဆေးဆရာ ဦးဝိမလ(ကြို့ပင်ကောက်)
009.mp3|https://media.thitsarparamisociety.com/mp3/Magway/Gayunar-13yr/09.%20(15.12.2015).mp3|၉။ (၁၅.၁၂.၁၅)သတိပဋ္ဌန်ကျင့်မှအသိညဏ်ရင့်မယ် ဦးဝိမလ(ကြို့ပင်ကောက်)
010.mp3|https://media.thitsarparamisociety.com/mp3/Magway/Gayunar-13yr/10.%20(16.12.2015).mp3|၁၀။ ဝမ်းမနည်းသော အပြန်လမ်း (၁၆.၁၂.၁၅) အရှင်တေဇာနန္ဒ(ရှင်နေမင်း၊ဥရှစ်ကုန်း)
011.mp3|https://media.thitsarparamisociety.com/mp3/Magway/Gayunar-13yr/11.%20(17.12.2015).mp3|၁၁။မြင့်မိုလ်ဦးရဲ့ မသေလမ်း (၁၇.၁၂.၁၅) အရှင်တေဇာနန္ဒ(ရှင်နေမင်း၊ဥရှစ်ကုန်း)
