၁။နိဗၺာန္သို႔ သြားရာ တစ္ေၾကာင္းတည္းေသာလမ္း|နိဗၺာန္သို႔ သြားရာ တစ္ေၾကာင္းတည္းေသာလမ္း
၂။ အာနႏၵေတၳရ အပါဒါန္ (၁)|အရွင္အာနႏၵာ၏ ဘ၀ဇာတ္ေၾကာင္းမွတ္ေက်ာက္ တရားေတာ္မ်ား
၃။ အာနႏၵေတၳရ အပါဒါန္ (၂)|အရွင္အာနႏၵာ၏ ဘ၀ဇာတ္ေၾကာင္းမွတ္ေက်ာက္ တရားေတာ္မ်ား
၄။ အာနႏၵေတၳရ အပါဒါန္ (၃)|အရွင္အာနႏၵာ၏ ဘ၀ဇာတ္ေၾကာင္းမွတ္ေက်ာက္ တရားေတာ္မ်ား
၅။ အာနႏၵေတၳရ အပါဒါန္ (၄)|အရွင္အာနႏၵာ၏ ဘ၀ဇာတ္ေၾကာင္းမွတ္ေက်ာက္ တရားေတာ္မ်ား
၆။ အာနႏၵေတၳရ အပါဒါန္ (၅)|အရွင္အာနႏၵာ၏ ဘ၀ဇာတ္ေၾကာင္းမွတ္ေက်ာက္ တရားေတာ္မ်ား
၇။ အာနႏၵေတၳရ အပါဒါန္ (၆)|အရွင္အာနႏၵာ၏ ဘ၀ဇာတ္ေၾကာင္းမွတ္ေက်ာက္ တရားေတာ္မ်ား
၈။ အာနႏၵေတၳရ အပါဒါန္ (၇)|အရွင္အာနႏၵာ၏ ဘ၀ဇာတ္ေၾကာင္းမွတ္ေက်ာက္ တရားေတာ္မ်ား
၉။ အာနႏၵေတၳရ အပါဒါန္ (၈)|အရွင္အာနႏၵာ၏ ဘ၀ဇာတ္ေၾကာင္းမွတ္ေက်ာက္ တရားေတာ္မ်ား
၁၀။ အာနႏၵေတၳရ အပါဒါန္ (၉)|အရွင္အာနႏၵာ၏ ဘ၀ဇာတ္ေၾကာင္းမွတ္ေက်ာက္ တရားေတာ္မ်ား
၁၁။ အာနႏၵေတၳရ အပါဒါန္ (၁၀)|အရွင္အာနႏၵာ၏ ဘ၀ဇာတ္ေၾကာင္းမွတ္ေက်ာက္ တရားေတာ္မ်ား
